name,title,company,quote,theme,source_url,date_accessed
Matt Garman,CEO,Amazon Web Services,"I think part of going to college is building critical thinking. It's less about the development of skills and it really is how do you become a critical thinker? In some ways I think that's actually going to be the most important skill going forward.",Critical Thinking,https://www.cnbc.com/2025/08/13/amazon-aws-ceo-the-most-important-skill-you-need-to-succeed-in-ai-age.html,2025-01-18
Sam Altman,CEO,OpenAI,"Critical thinking could be the most valuable skill of the future for human workers particularly those tasked with curating and refining the output of AI tools. AI can generate lots of great ideas but you still need a human there to say This is the thing other people want.",Critical Thinking,https://www.cnbc.com/2025/08/13/amazon-aws-ceo-the-most-important-skill-you-need-to-succeed-in-ai-age.html,2025-01-18
Elon Musk,CEO,Tesla/SpaceX,"Automation could free workers to focus on more complex and challenging work that requires critical thinking and problem-solving.",Critical Thinking,https://medium.com/@ajithr116/elon-musk-on-ai-and-jobs-the-future-of-automation-and-how-it-will-affect-the-economy-2fb692aa9fee,2025-01-18
David Solomon,CEO,Goldman Sachs,"AI can draft 95% of an IPO prospectus in minutes. The last 5 percent now matters because the rest is now a commodity.",Human Judgment,https://fortune.com/2025/01/17/goldman-sachs-ceo-david-solomon-ai-tasks-ipo-prospectus-s1-filing-sec/,2025-01-18
Bob Sternfels,Global Managing Partner,McKinsey & Company,"You can get to a pretty good average answer using the technology now. So the kind of basic layer of mediocre expertise goes away. But the distinctive expertise becomes even more valuable.",Human Expertise,https://futurism.com/mckinsey-terrified-ai-do-its-job,2025-01-18
Arvind Krishna,CEO,IBM,"Jobs that require critical thinking will very much be in demand jobs that require creativity will very much be in demand but a lot of good jobs will be eliminated.",Critical Thinking,https://cryptonews.net/news/other/27724586/,2025-01-18
Dario Gil,SVP and Director of Research,IBM,"Don't be an AI user be an AI value creator. Use the technology but think more structurally about how to create value in whatever domain you are in.",Value Creation,https://www.buffalo.edu/ubnow/stories/2024/06/ai-chat-series-dario-gil.html,2025-01-18
Ginni Rometty,Former CEO,IBM,"AI is not about automation. To get real value people must change how they think about things and how they do things.",Critical Thinking,https://bdtechtalks.com/2018/05/08/ibm-ceo-augmented-intelligence-ai/,2025-01-18
Dara Khosrowshahi,CEO,Uber,"AI is not going to replace you. The thing that's going to replace you is a human who knows how to use AI.",AI Skills,https://www.brown.edu/news/2025-04-10/dara-khosrowshahi,2025-01-18
Marc Benioff,CEO,Salesforce,"Being able to make judgment calls think creatively and practice emotional intelligence are skills that will stay in high demand â€” and these skills are not easily replicated by AI.",Human Skills,https://www.salesforce.com/artificial-intelligence/ai-quotes/,2025-01-18
Jensen Huang,CEO,NVIDIA,"AI innovations shouldn't make us feel threatened. They should make us feel empowered and excited about all the higher-level thinking and problem solving we'll be freed to do.",Critical Thinking,https://www.inc.com/peter-economy/17-jensen-huang-quotes-to-inspire-your-creativity-success.html,2025-01-18
Jensen Huang,CEO,NVIDIA,"AI is not going to take your job. The person who uses AI is going to take your job.",AI Skills,https://www.cnbc.com/2025/05/28/nvidia-ceo-jensen-huang-youll-lose-your-job-to-somebody-who-uses-ai.html,2025-01-18
Andy Jassy,CEO,Amazon,"AI will inevitably reduce the need for certain jobs but it also creates a chance to reinvent roles and refocus energy on work that demands critical thinking strategy and innovation.",Critical Thinking,https://techstory.in/amazon-ceo-andy-jassy-says-ai-is-redefining-the-workforce-and-its-just-the-beginning/,2025-01-18
Drew Houston,CEO,Dropbox,"You don't want to outsource judgment. Delegating your judgment to a machine it's a problem.",Human Judgment,https://mitsloan.mit.edu/alumni/why-dropbox-ceo-believes-ai-will-change-nature-work,2025-01-18